CUSTOMER_ID,CUSTOMER_KEY,CUSTOMER_TITLE,CITY_NAME,STATE_NAME,DISTRICT_NAME,COUNTRY_NAME,POSTAL_CODE,CUSTOMER_TYPE,CUSTOMER_GENDER,CUSTOMER_DATE_OF_BIRTH,CUSTOMER_BUS_REG_NO,CUSTOMER_BUS_REG_NO_FLG,CUSTOMER_MARITAL_STATUS,CUSTOMER_PROFESSION,IS_CUSTOMER_MINOR,CUSTOMER_PRIMARY_SOL_ID,CUSTOMER_HEALTH_CODE,CUSTOMER_CATEGORY,CUST_TYPE_KEY,CUST_GRP_KEY,CUST_CONST_KEY,CUSTOMER_RISK_GRADE,CUST_FIRST_ACCT_DATE,IS_EMPLOYEE,CUSTOMER_COUNTRY_CODE,CUSTOMER_DELETE_FLAG,CUSTOMER_FAMILY_KEY,LAST_UPDATE_DATE,SMS_ALERTZ_STATUS,SMS_ALERTZ_INIT_SOL,SMS_ALERTZ_SERVICE_PROVIDER,Z_RELOAD_STATUS,VISHWA_STATUS,CREDIT_CARD_ACCOUNT_NUMBER_FLG,DEBIT_CARD_NUMBER_FLG
300316120,2766,Mr,,,,,66210,Individual,Male,1970/05/03,N/APPLICABLE,N,Single,Recruiter,N,039,C+,Normal,22,16,52,Not Updated,,No,LK,Active,186.4.59.116,10/29/16,Active,037,Dialog,N/A,RETAIL-12022019,N,Y
300316129,2767,Dr,,,,,30340,Individual,Female,1977/06/17,N/APPLICABLE,N,,Sales Representative,N,005,B+,Normal,22,16,52,Not Updated,,No,LK,Active,251.247.70.159,10/29/16,Active,009,Dialog,N/A,RETAIL-12022019,N,N
300316138,2770,Honorable,Colombo,Western,Colombo,Sri Lanka,52405,Individual,Female,1988/01/26,N/APPLICABLE,N,Married,VP Quality Control,N,089,,Normal,22,16,52,Not Updated,23.161.194.233,No,LK,Active,40.223.135.216,10/30/16,Not Registered,005,No Provider,N/A,N/A,N,Y
300316147,2767,Dr,Dehiwala-Mount Lavinia,Western,Colombo,Sri Lanka,84189,Individual,Female,1979/06/06,N/APPLICABLE,N,Single,Geologist I,N,110,,Normal,22,470,52,Not Updated,217.112.39.53,No,LK,Active,31.174.117.153,10/30/16,Active,039,Dialog,N/A,RETAIL-12022019,N,N
300316156,2768,Mrs,Moratuwa,Western,Colombo,Sri Lanka,92170,Individual,Female,1992/09/14,N/APPLICABLE,N,Single,Sales Associate,N,040,B+,Normal,22,470,52,Not Updated,169.173.50.213,No,LK,Active,27.28.88.88,2019/03/18,Active,038,Dialog,N/A,RETAIL-12022019,N,Y
300316165,2771,Rev,Sri Jayawardenapura Kotte,Western,Colombo,Sri Lanka,66617,Individual,Male,1999/02/02,N/APPLICABLE,N,Married,Help Desk Technician,N,006,,Normal,22,16,52,Not Updated,236.96.157.226,No,LK,Active,31.80.142.75,2018/09/13,Not Registered,010,No Provider,N/A,N/A,N,N
300316174,2768,Honorable,Negombo,Western,Gampaha,Sri Lanka,40250,Individual,Female,1998/06/01,N/APPLICABLE,N,Married,Programmer IV,N,090,,Normal,22,16,52,Not Updated,101.11.12.123,No,LK,Active,136.3.231.151,2019/03/02,Active,006,Dialog,N/A,RETAIL-12022019,N,Y
300316183,2769,Dr,Kandy,Central,Kandy,Sri Lanka,89110,Individual,Female,1989/03/16,N/APPLICABLE,N,Single,Structural Engineer,N,111,,Normal,22,16,52,Not Updated,177.33.198.156,No,LK,Active,87.121.158.203,2019/01/25,Active,040,Dialog,N/A,RETAIL-12022019,N,N
300316192,2772,Dr,Kalmunai,Eastern,Ampara,Sri Lanka,91103,Individual,Male,1989/09/01,N/APPLICABLE,N,,Operator,N,041,,Normal,22,470,52,Not Updated,5.155.13.164,No,LK,Active,156.45.152.138,2018/07/15,Not Registered,039,No Provider,N/A,N/A,N,Y
300316201,2769,Mr,,,,,90510,Individual,Female,1992/10/30,N/APPLICABLE,N,Married,Web Designer III,N,007,A+,Normal,22,470,52,Not Updated,48.107.83.184,No,LK,Active,193.77.137.231,2018/04/22,Active,011,Dialog,N/A,RETAIL-12022019,N,N
